ACC_X,ACC_Y,ACC_Z,Time
-279.510498,-5.401611,643.341064,1.833478
-264.770508,6.04248,653.594971,1.834209
-272.827148,4.486084,642.333984,1.834939
-280.24292,24.627686,643.157959,1.835689
-297.180176,23.4375,638.763428,1.836429
-280.24292,27.374268,640.869141,1.83717
-280.609131,43.212891,645.263672,1.837909
-281.799316,65.185547,641.51001,1.838659
-289.489746,49.438477,645.904541,1.839399
-299.926758,51.544189,642.242432,1.840139
-296.356201,63.262939,639.953613,1.840879
-303.68042,71.136475,656.433105,1.841628
-304.321289,89.813232,666.778564,1.842368
-316.314697,99.060059,683.624268,1.843108
-337.554932,122.86377,687.286377,1.843849
-341.125488,145.385742,697.906494,1.844599
-369.873047,199.21875,702.301025,1.845339
-407.775879,215.606689,715.118408,1.846079
-404.754639,220.733643,720.703125,1.846906
-370.97168,262.390137,709.259033,1.847661
-416.564941,340.667725,723.449707,1.848402
-401.824951,291.412354,708.709717,1.849142
-365.753174,290.679932,727.844238,1.849882
-368.95752,266.326904,749.359131,1.850632
-373.718262,238.952637,753.845215,1.851372
-285.552979,238.494873,762.268066,1.852112
-306.335449,211.761475,795.318604,1.852852
-317.504883,182.4646,799.346924,1.853602
-285.827637,162.597656,799.346924,1.854341
-348.815918,128.90625,796.600342,1.855081
-361.633301,100.43335,816.101074,1.855821
-376.373291,87.799072,793.85376,1.856568
-396.148682,76.721191,792.114258,1.857319
-426.177979,51.9104,779.571533,1.858052
-435.974121,33.599854,756.774902,1.858784
-409.606934,17.211914,745.056152,1.859536
-391.662598,3.936768,724.822998,1.860267
-381.134033,-0.457764,703.033447,1.860998
-377.838135,-15.655518,673.64502,1.86173
-359.802246,-7.781982,635.009766,1.862475
-358.886719,-4.211426,620.178223,1.863209
-378.02124,11.169434,609.375,1.86394
-370.605469,14.282227,598.388672,1.864671
-355.773926,30.578613,575.134277,1.865418
-359.344482,24.078369,564.239502,1.86615
-356.140137,32.592773,567.260742,1.866881
